ID;Cidade;Area;Quartos;Banheiros;Vagas garagem;Aceita Animais;Mobilhado;Valor condomínio;Valor do Aluguel;IPTU;Seguro;Tipo Imóvel;Bairro;;;;;;
70;Jundiaí;72;2;2;1;Sim;Não;500;1200;97;16;casa;Distrito Industrial;;;;;;
71;Jundiaí;60;1;1;2;Não;Não;3398;1900;288;25;casa;Pacaembu;;;;;;
72;Jundiaí;180;3;2;4;Não;Sim;0;11000;667;166;apartamento;Jardim Ermida;;;;;;
73;Jundiaí;83;3;2;1;Não;Sim;805;3300;80;42;casa;Parque do Colégio;;;;;;
74;Jundiaí;50;1;1;0;Sim;Não;519;1550;28;20;casa;Ponte São João;;;;;;
75;Jundiaí;38;1;1;1;Não;Sim;1620;3020;279;39;apartamento;Tulipas;;;;;;
76;Jundiaí;140;3;3;2;Sim;Não;1300;2800;292;36;casa;Pacaembu;;;;;;
77;Jundiaí;62;2;1;1;Sim;Não;485;980;48;13;casa;Gramadão;;;;;;
78;Jundiaí;70;1;1;0;Sim;Sim;1500;4000;284;51;apartamento;Samambaia;;;;;;
79;Jundiaí;55;1;1;0;Sim;Não;600;1100;60;14;casa;Novo Horizonte;;;;;;
80;Jundiaí;60;2;1;1;Não;Não;430;815;20;6;casa;Vila Rio Branco;;;;;;
81;Jundiaí;85;2;2;1;Sim;Não;1250;1738;261;23;casa;Distrito Industrial;;;;;;
82;Jundiaí;134;3;3;3;Não;Não;1655;8000;380;102;apartamento;Fazenda Grande;;;;;;
83;Jundiaí;200;3;2;2;Sim;Não;2573;10000;1121;127;casa;Anhangabaú;;;;;;
84;Jundiaí;170;3;2;2;Sim;Sim;0;3900;267;59;apartamento;Tamoio;;;;;;
85;Jundiaí;46;1;1;2;Sim;Sim;2210;6220;255;79;casa;Jundiaí Mirim;;;;;;
86;Jundiaí;20;1;1;0;Sim;Sim;602;1800;130;23;casa;Engordadouro;;;;;;
87;Jundiaí;58;2;2;1;Não;Sim;1000;4500;144;58;apartamento;Maringá;;;;;;
88;Jundiaí;96;3;2;3;Sim;Não;1024;2350;313;30;apartamento;Novo Horizonte;;;;;;
89;Jundiaí;190;3;3;3;Sim;Não;3000;13000;84;165;casa;Parque do Colégio;;;;;;
90;Jundiaí;87;3;2;4;Sim;Não;800;2000;67;26;apartamento;Retiro;;;;;;
91;Jundiaí;42;1;1;0;Sim;Não;350;2400;94;31;casa;Gramadão;;;;;;
92;Jundiaí;145;3;3;1;Sim;Sim;1380;11000;375;140;apartamento;São Camilo;;;;;;
93;Jundiaí;250;4;6;4;Não;Não;3000;14500;875;184;apartamento;Vianelo / Bonfiglioli;;;;;;
94;Jundiaí;90;2;1;1;Sim;Não;1000;3000;50;39;apartamento;Samambaia;;;;;;
95;Jundiaí;250;6;2;2;Sim;Não;0;2472;26;38;casa;Currupira;;;;;;
96;Jundiaí;500;3;4;5;Sim;Sim;0;7620;1094;115;casa;Centro;;;;;;
97;Jundiaí;80;2;2;2;Sim;Sim;1581;8800;112;112;apartamento;Jardim do Lago;;;;;;
98;Jundiaí;120;3;2;3;Sim;Não;0;2500;180;38;casa;Ponte São João;;;;;;
99;Jundiaí;265;3;3;2;Sim;Não;0;2400;140;37;apartamento;São Camilo;;;;;;
100;Jundiaí;50;2;1;1;Sim;Não;330;1080;0;14;casa;Nova Odessa;;;;;;
101;Jundiaí;126;3;3;2;Sim;Não;780;3800;167;49;apartamento;Retiro;;;;;;
102;Jundiaí;55;2;1;1;Sim;Não;390;720;0;10;apartamento;Distrito Industrial;;;;;;
103;Jundiaí;29;1;1;1;Sim;Sim;700;2700;84;35;casa;CECAP;;;;;;
104;Jundiaí;59;2;1;1;Sim;Não;514;2450;138;32;casa;Gramadão;;;;;;
105;Jundiaí;200;2;4;4;Sim;Não;2450;7800;1417;99;apartamento;Parque Centenário;;;;;;
106;Jundiaí;74;3;2;1;Sim;Não;577;2196;100;28;apartamento;Jardim do Lago;;;;;;
107;Jundiaí;290;4;5;2;Sim;Não;4300;10000;875;127;casa;São Camilo;;;;;;
108;Jundiaí;172;3;4;3;Sim;Não;1596;8000;820;102;apartamento;Horto Florestal;;;;;;
109;Jundiaí;25;1;1;0;Não;Sim;270;2600;67;33;casa;Jardim do Lago;;;;;;
110;Jundiaí;50;1;1;1;Sim;Não;0;1100;0;17;casa;Samambaia;;;;;;
111;Jundiaí;40;1;1;0;Sim;Não;300;1100;0;14;apartamento;Samambaia;;;;;;
112;Jundiaí;80;2;2;2;Sim;Não;0;2465;0;38;apartamento;Pacaembu;;;;;;
113;Jundiaí;280;6;6;3;Sim;Não;0;5000;1118;76;casa;Distrito Industrial;;;;;;
114;Jundiaí;60;1;1;1;Sim;Sim;850;4723;0;18;apartamento;Fazenda Grande;;;;;;
115;Jundiaí;115;2;3;2;Sim;Não;1380;12000;790;153;apartamento;Pinheirinhos/Represa;;;;;;
116;Jundiaí;540;3;3;4;Sim;Não;6200;15000;3500;191;casa;Nova Odessa;;;;;;
117;Jundiaí;76;2;1;1;Não;Sim;906;4250;217;54;apartamento;São Camilo;;;;;;
118;Jundiaí;150;4;5;2;Sim;Não;1100;2980;360;38;apartamento;Parque do Colégio;;;;;;
119;Jundiaí;130;3;2;1;Sim;Não;2400;5500;209;70;apartamento;Santa Gertrudes;;;;;;
120;Jundiaí;64;2;1;1;Sim;Não;441;730;18;10;apartamento;Torres São José;;;;;;
121;Jundiaí;55;2;2;1;Sim;Não;420;1300;50;17;apartamento;Ponte São João;;;;;;
122;Jundiaí;50;1;1;0;Sim;Não;600;1300;0;17;casa;Vila Arens / Vila Progresso;;;;;;
123;Jundiaí;120;2;3;2;Sim;Não;2000;7000;180;89;apartamento;Fazenda Grande;;;;;;
124;Jundiaí;236;3;4;4;Sim;Não;1600;11000;440;140;casa;Fazenda Grande;;;;;;
125;Jundiaí;30;1;1;0;Sim;Não;336;550;10;7;apartamento;Hortolândia;;;;;;
126;Jundiaí;270;3;3;0;Sim;Sim;0;8000;500;121;casa;Parque Centenário;;;;;;
127;Jundiaí;48;1;1;0;Sim;Não;350;670;21;9;casa;Jardim do Lago;;;;;;
128;Jundiaí;198;6;3;4;Sim;Não;0;2000;145;31;casa;Cerâmica Ibetel;;;;;;
129;Jundiaí;50;1;1;0;Sim;Não;0;1080;59;17;casa;Torres São José;;;;;;
130;Jundiaí;185;3;3;3;Sim;Não;2670;5600;907;71;casa;Engordadouro;;;;;;
131;Jundiaí;440;4;4;4;Sim;Não;0;12000;2500;181;apartamento;Novo Horizonte;;;;;;
132;Jundiaí;119;3;2;2;Sim;Não;1650;1200;212;16;casa;Malota;;;;;;
133;Jundiaí;57;2;2;2;Sim;Não;510;1690;11;22;apartamento;Parque Centenário;;;;;;
134;Jundiaí;65;2;1;1;Sim;Não;100;1400;84;18;apartamento;Caxambu;;;;;;
135;Jundiaí;35;2;1;1;Sim;Não;125;2100;0;32;casa;Vila Rio Branco;;;;;;
136;Jundiaí;51;1;2;1;Não;Não;703;2100;150;27;apartamento;Fazenda Grande;;;;;;
137;Jundiaí;70;2;3;1;Sim;Não;1196;2004;0;26;casa;Vila Municipal;;;;;;
138;Jundiaí;90;2;1;1;Sim;Não;0;1500;0;23;casa;Nova Odessa;;;;;;
139;Jundiaí;320;3;4;3;Sim;Não;3400;6800;1;87;apartamento;Samambaia;;;;;;
140;Jundiaí;250;7;5;2;Sim;Não;0;12750;1045;192;casa;Anhangabaú;;;;;;
141;Jundiaí;70;2;1;1;Sim;Não;660;3800;45;49;apartamento;Fazenda Grande;;;;;;
142;Jundiaí;169;4;6;3;Sim;Sim;2560;10000;734;127;apartamento;Vila Municipal;;;;;;
143;Jundiaí;33;1;1;0;Não;Não;338;1100;63;14;casa;Vila Municipal;;;;;;
144;Jundiaí;225;4;4;3;Sim;Não;2800;5000;1267;64;apartamento;Jardim do Lago;;;;;;
145;Jundiaí;42;1;1;0;Sim;Sim;0;3256;0;42;casa;Marco Leite;;;;;;
146;Jundiaí;120;3;4;1;Não;Não;0;4000;4;61;apartamento;Aeroporto;;;;;;
147;Jundiaí;70;3;2;2;Não;Não;750;1500;148;20;casa;Samambaia;;;;;;
148;Jundiaí;90;1;1;2;Sim;Sim;0;3200;137;49;casa;Nambi;;;;;;
149;Jundiaí;260;4;5;4;Sim;Sim;2014;3300;1000;42;apartamento;Engordadouro;;;;;;
150;Jundiaí;243;3;3;4;Sim;Não;2678;5500;1950;70;casa;Jardim Ermida;;;;;;
151;Jundiaí;100;1;1;0;Sim;Não;0;1530;0;12;casa;Vila Rio Branco;;;;;;
152;Jundiaí;240;3;4;3;Sim;Não;3211;5100;1102;65;apartamento;Tulipas;;;;;;
153;Jundiaí;45;1;1;1;Sim;Não;700;870;46;12;apartamento;Rami;;;;;;
154;Jundiaí;65;1;1;1;Sim;Sim;680;5000;14;64;casa;Gramadão;;;;;;
155;Jundiaí;47;1;1;0;Não;Não;100;1000;76;13;apartamento;Casa Branca;;;;;;
156;Jundiaí;60;2;1;0;Sim;Sim;589;3300;65;42;casa;Horto Florestal;;;;;;
157;Jundiaí;340;4;6;6;Sim;Sim;0;15000;250;226;apartamento;Colônia;;;;;;
158;Jundiaí;500;4;4;0;Sim;Não;0;6000;467;91;apartamento;Pinheirinhos/Represa;;;;;;
159;Jundiaí;55;2;1;1;Sim;Não;420;1399;0;18;apartamento;Vila Rio Branco;;;;;;
160;Jundiaí;240;3;4;3;Sim;Sim;3600;4950;1000;63;apartamento;Moisés;;;;;;
161;Jundiaí;65;2;2;1;Sim;Não;650;2315;0;7;casa;São Camilo;;;;;;
162;Jundiaí;68;1;1;0;Não;Não;0;1213;0;6;apartamento;São Camilo;;;;;;
163;Jundiaí;500;4;4;3;Sim;Não;0;10800;988;163;apartamento;Nambi;;;;;;
164;Jundiaí;198;2;2;2;Sim;Não;1700;5500;320;70;apartamento;Vila Arens / Vila Progresso;;;;;;
165;Jundiaí;62;2;1;1;Sim;Não;543;2200;59;28;casa;Cerâmica Ibetel;;;;;;
166;Jundiaí;60;2;2;1;Sim;Não;632;2806;25;36;apartamento;Vila Arens / Vila Progresso;;;;;;
167;Jundiaí;187;3;2;3;Não;Sim;1700;8400;584;127;casa;Cerâmica Ibetel;;;;;;
168;Jundiaí;25;1;1;0;Sim;Não;432;2200;45;28;apartamento;Aeroporto;;;;;;
169;Jundiaí;230;3;4;3;Sim;Não;0;3600;409;55;casa;Colônia;;;;;;
170;Jundiaí;17;1;1;0;Não;Sim;300;2400;50;31;casa;Nova Odessa;;;;;;
171;Jundiaí;67;2;2;1;Sim;Não;740;2200;170;28;casa;Retiro;;;;;;
172;Jundiaí;20;1;1;0;Sim;Sim;0;2060;0;27;apartamento;Marco Leite;;;;;;
173;Jundiaí;118;3;2;2;Sim;Sim;1880;8500;434;108;apartamento;Ponte São João;;;;;;
174;Jundiaí;43;1;1;1;Sim;Não;850;2430;172;31;casa;Jundiaí Mirim;;;;;;
175;Jundiaí;195;2;3;1;Sim;Não;1500;6000;334;77;apartamento;Colônia;;;;;;
176;Jundiaí;141;3;4;3;Não;Não;1646;7500;735;96;casa;Anhangabaú;;;;;;
177;Jundiaí;45;1;1;1;Não;Não;550;2300;0;30;casa;Samambaia;;;;;;
178;Jundiaí;48;1;1;1;Sim;Não;588;1525;0;6;apartamento;Jardim Ermida II;;;;;;
179;Jundiaí;280;3;4;2;Não;Não;4000;6000;1059;77;apartamento;Vila Militar;;;;;;
180;Jundiaí;170;3;2;2;Não;Não;2199;5000;423;64;apartamento;Pacaembu;;;;;;
181;Jundiaí;90;3;2;1;Sim;Não;0;3260;0;50;casa;Malota;;;;;;
182;Jundiaí;35;1;1;1;Sim;Não;392;1100;13;14;apartamento;Alvorada;;;;;;
183;Jundiaí;16;1;1;0;Não;Não;390;2300;100;30;casa;Vianelo / Bonfiglioli;;;;;;
184;Jundiaí;68;1;1;1;Não;Sim;600;1000;48;13;casa;Tamoio;;;;;;
185;Jundiaí;80;3;5;2;Não;Não;3460;12000;1000;153;apartamento;Centro;;;;;;
186;Jundiaí;190;3;2;1;Sim;Sim;3040;8000;556;102;casa;Maringá;;;;;;
187;Jundiaí;150;3;4;2;Não;Não;0;3400;0;52;apartamento;Medeiros;;;;;;
188;Jundiaí;112;3;3;2;Sim;Sim;1100;2670;188;34;apartamento;Tulipas;;;;;;
189;Jundiaí;145;3;4;3;Não;Não;1200;6000;750;77;casa;Gramadão;;;;;;
190;Jundiaí;47;1;1;1;Sim;Não;560;1100;46;14;casa;Vila Municipal;;;;;;
191;Jundiaí;128;3;2;1;Sim;Sim;1094;4529;242;58;apartamento;São Camilo;;;;;;
192;Jundiaí;250;3;4;4;Sim;Não;0;4500;334;68;apartamento;Maringá;;;;;;
193;Jundiaí;120;3;1;0;Sim;Não;250;1460;0;21;casa;Caxambu;;;;;;
194;Jundiaí;110;2;2;2;Não;Não;0;2700;300;41;apartamento;Horto Florestal;;;;;;
195;Jundiaí;400;2;5;4;Sim;Não;0;6000;484;91;apartamento;Colônia;;;;;;
196;Jundiaí;35;1;1;1;Não;Sim;1050;2600;317;33;casa;Jundiaí Mirim;;;;;;
197;Jundiaí;107;2;2;2;Sim;Sim;1800;12800;417;163;apartamento;Parque Residencial Eloy Chaves;;;;;;
198;Jundiaí;97;2;2;0;Sim;Não;1200;5600;0;71;casa;Vila Municipal;;;;;;
199;Jundiaí;70;2;1;0;Não;Não;350;1050;116;14;casa;Jardim do Lago;;;;;;
200;Jundiaí;20;1;1;0;Não;Sim;150;3142;67;40;apartamento;Cerâmica Ibetel;;;;;;
201;Jundiaí;130;3;2;2;Sim;Não;1100;3500;209;45;apartamento;Engordadouro;;;;;;
202;Jundiaí;120;3;2;3;Sim;Não;1400;2000;292;26;apartamento;Hortolândia;;;;;;
203;Jundiaí;110;3;3;2;Sim;Sim;1000;3800;192;49;casa;Cerâmica Ibetel;;;;;;
204;Jundiaí;300;3;5;3;Sim;Não;0;11900;250;179;casa;Centro;;;;;;
205;Jundiaí;349;4;5;4;Não;Não;3100;11000;0;140;apartamento;São Camilo;;;;;;
206;Jundiaí;97;3;2;2;Sim;Não;730;3000;303;39;apartamento;Jardim Ermida;;;;;;
207;Jundiaí;84;4;1;3;Não;Não;1914;6000;804;77;casa;Currupira;;;;;;
208;Jundiaí;180;2;2;1;Não;Não;0;2800;105;43;casa;Jardim Ermida II;;;;;;
209;Jundiaí;286;4;4;5;Sim;Não;0;10000;1000;151;apartamento;Anhangabaú;;;;;;
210;Jundiaí;500;5;7;5;Sim;Não;5500;14000;2084;178;casa;CECAP;;;;;;
211;Jundiaí;110;3;3;3;Sim;Não;1195;2350;670;30;casa;Cerâmica Ibetel;;;;;;
212;Jundiaí;196;4;4;0;Sim;Não;2450;6000;1458;77;apartamento;Novo Horizonte;;;;;;
213;Jundiaí;33;1;1;1;Não;Não;552;4150;95;53;casa;Parque Centenário;;;;;;
214;Jundiaí;400;4;4;3;Sim;Não;0;9000;542;136;casa;Parque Residencial Eloy Chaves;;;;;;
215;Jundiaí;170;2;1;0;Sim;Sim;0;2481;0;26;casa;Vianelo / Bonfiglioli;;;;;;
216;Jundiaí;90;1;1;0;Sim;Não;0;2200;109;34;casa;Alvorada;;;;;;
217;Jundiaí;184;3;4;3;Sim;Não;2700;1400;692;18;casa;Novo Horizonte;;;;;;
218;Jundiaí;117;2;2;1;Não;Sim;630;7130;150;91;apartamento;Malota;;;;;;
219;Jundiaí;11;1;1;0;Não;Sim;0;1181;0;15;apartamento;Jardim Ermida;;;;;;
220;Jundiaí;57;1;1;1;Sim;Não;605;800;66;11;casa;Pinheirinhos/Represa;;;;;;
221;Jundiaí;16;1;1;0;Não;Não;0;850;30;11;apartamento;Colônia;;;;;;
222;Jundiaí;180;4;3;1;Sim;Sim;1572;5000;240;64;casa;Vila Militar;;;;;;
223;Jundiaí;250;3;4;2;Sim;Não;3300;6000;517;77;casa;Parque Residencial Eloy Chaves;;;;;;
224;Jundiaí;220;3;4;2;Sim;Sim;0;7000;434;106;casa;Samambaia;;;;;;
225;Jundiaí;360;3;5;4;Sim;Não;2398;3135;1467;40;apartamento;Tulipas;;;;;;
226;Jundiaí;122;3;4;3;Sim;Não;0;4500;0;58;apartamento;Engordadouro;;;;;;
227;Jundiaí;138;3;4;3;Não;Não;790;7000;690;89;apartamento;Parque Centenário;;;;;;
228;Jundiaí;110;3;1;1;Sim;Não;1235;1400;0;18;apartamento;Cerâmica Ibetel;;;;;;
229;Jundiaí;220;4;3;3;Sim;Não;1600;3400;0;44;casa;Santa Gertrudes;;;;;;
230;Jundiaí;118;3;2;1;Não;Não;1116;4775;185;61;casa;Marco Leite;;;;;;
231;Jundiaí;180;2;2;1;Sim;Não;1800;5350;0;68;apartamento;Medeiros;;;;;;
232;Jundiaí;52;2;1;1;Sim;Não;540;1300;63;17;casa;Cerâmica Ibetel;;;;;;
233;Jundiaí;30;1;1;0;Sim;Sim;0;1550;21;20;apartamento;Jardim Ermida;;;;;;
234;Jundiaí;160;3;3;2;Sim;Sim;1650;1500;419;20;casa;Vila Arens / Vila Progresso;;;;;;
235;Jundiaí;209;3;3;2;Não;Não;593;2550;237;39;apartamento;Santa Gertrudes;;;;;;
236;Jundiaí;450;5;5;6;Sim;Não;0;9500;1345;143;casa;Jundiaí Mirim;;;;;;
237;Jundiaí;117;3;3;3;Sim;Não;2280;2300;700;30;casa;Jardim do Lago;;;;;;
238;Jundiaí;900;4;6;8;Sim;Não;0;15000;4417;226;apartamento;Vila Municipal;;;;;;
239;Jundiaí;200;3;3;0;Sim;Não;0;4500;71;68;casa;Anhangabaú;;;;;;
240;Jundiaí;128;3;3;2;Sim;Não;2600;3800;605;49;casa;Tamoio;;;;;;
241;Jundiaí;140;3;2;2;Sim;Não;1480;3700;167;47;casa;CECAP;;;;;;
242;Jundiaí;180;3;3;4;Sim;Não;2000;7000;859;89;casa;Parque Centenário;;;;;;
243;Jundiaí;280;4;4;5;Sim;Não;3000;3200;875;41;apartamento;Vianelo / Bonfiglioli;;;;;;
244;Jundiaí;420;4;6;4;Sim;Não;3500;15000;2250;191;apartamento;Vila Arens / Vila Progresso;;;;;;
245;Jundiaí;48;1;1;1;Sim;Sim;740;2700;137;35;apartamento;Retiro;;;;;;
246;Jundiaí;148;3;2;2;Não;Sim;2830;9000;267;115;casa;Vale Azul;;;;;;
247;Jundiaí;75;2;1;1;Não;Não;748;2000;0;26;casa;Nambi;;;;;;
248;Jundiaí;44;1;1;0;Não;Não;417;3016;0;12;casa;Cerâmica Ibetel;;;;;;
249;Jundiaí;35;1;1;0;Sim;Não;0;1100;30;14;casa;Marco Leite;;;;;;
250;Jundiaí;320;4;2;2;Sim;Sim;0;8000;642;121;casa;Tamoio;;;;;;
251;Jundiaí;98;3;2;1;Sim;Não;727;1233;84;16;casa;Vila Municipal;;;;;;
252;Jundiaí;51;1;1;0;Não;Sim;707;1300;45;17;apartamento;Santa Gertrudes;;;;;;
253;Jundiaí;322;4;5;5;Sim;Sim;2700;15000;1875;191;casa;Hortolândia;;;;;;
254;Jundiaí;187;4;5;3;Sim;Não;3912;5300;1424;68;casa;Vila Arens / Vila Progresso;;;;;;
255;Jundiaí;62;3;2;1;Não;Sim;1550;4800;167;61;casa;Vianelo / Bonfiglioli;;;;;;
256;Jundiaí;130;2;2;1;Sim;Não;1100;4300;100;55;apartamento;Tulipas;;;;;;
257;Jundiaí;600;4;6;3;Sim;Não;1123;5500;819;83;casa;Medeiros;;;;;;
258;Jundiaí;520;3;4;2;Sim;Não;0;9000;1500;136;apartamento;Pinheirinhos/Represa;;;;;;
259;Jundiaí;86;1;2;1;Sim;Sim;1800;6500;375;83;casa;Pacaembu;;;;;;
260;Jundiaí;72;2;2;1;Sim;Não;1100;5431;334;69;casa;Maringá;;;;;;
261;Jundiaí;550;4;4;4;Sim;Não;0;14000;1334;211;casa;Aeroporto;;;;;;
262;Jundiaí;50;1;1;0;Não;Não;0;1220;0;19;apartamento;Parque Residencial Eloy Chaves;;;;;;
263;Jundiaí;298;5;3;3;Sim;Não;0;8000;1384;121;apartamento;Horto Florestal;;;;;;
264;Jundiaí;74;3;2;1;Sim;Não;700;1800;120;23;casa;Jundiaí Mirim;;;;;;
265;Jundiaí;41;1;1;0;Sim;Sim;450;2470;0;32;apartamento;Pinheirinhos/Represa;;;;;;
266;Jundiaí;80;3;2;2;Sim;Não;750;1450;110;19;apartamento;Parque Centenário;;;;;;
267;Jundiaí;130;3;2;1;Sim;Não;1200;4500;100;58;casa;Hortolândia;;;;;;
