ID;Cidade;Area;Quartos;Banheiros;Vagas garagem;Aceita Animais;Mobilhado;Valor condomínio;Valor do Aluguel;IPTU;Seguro;Tipo Imóvel;Bairro;Estado;;;;;
60;Jundiaí;20;1;1;0;Não;Sim;0;1950;0;25;Casa;Jundiaí Mirim;Disponível;;;;;
61;Jundiaí;400;4;3;2;Sim;Não;0;5650;338;85;Casa;Currupira;Disponível;;;;;
62;Jundiaí;220;3;3;5;Sim;Não;0;7500;0;113;Casa;Colônia;Locado;;;;;
63;Jundiaí;750;7;6;5;Sim;Sim;0;5800;559;88;Apartamento;Cecap;Disponível;;;;;
64;Jundiaí;20;1;1;0;Sim;Sim;602;1800;130;23;Casa;Vila Rio Branco;Disponível;;;;;
65;Jundiaí;140;3;2;2;Não;Não;998;2100;283;27;Apartamento;Caxambu;Disponível;;;;;
66;Jundiaí;22;1;1;0;Não;Não;250;1080;14;14;Casa;Novo Horizonte;Disponível;;;;;
67;Jundiaí;345;2;3;2;Não;Não;3655;12000;783;153;Apartamento;Parque Do Colégio;Disponível;;;;;
68;Jundiaí;46;2;1;1;Não;Não;250;1100;53;5;Casa;Tulipas;Disponível;;;;;
69;Jundiaí;35;1;1;1;Não;Sim;550;3250;30;42;Apartamento;Samambaia;Disponível;;;;;
70;Jundiaí;72;2;2;1;Sim;Não;500;1200;97;16;Casa;Distrito Industrial;Disponível;;;;;
71;Jundiaí;60;1;1;2;Não;Não;3398;1900;288;25;Casa;Pacaembu;Disponível;;;;;
72;Jundiaí;180;3;2;4;Não;Sim;0;11000;667;166;Apartamento;Jardim Ermida;Locado;;;;;
73;Jundiaí;83;3;2;1;Não;Sim;805;3300;80;42;Casa;Parque Do Colégio;Locado;;;;;
74;Jundiaí;50;1;1;0;Sim;Não;519;1550;28;20;Casa;Ponte São João;Locado;;;;;
75;Jundiaí;38;1;1;1;Não;Sim;1620;3020;279;39;Apartamento;Tulipas;Disponível;;;;;
76;Jundiaí;140;3;3;2;Sim;Não;1300;2800;292;36;Casa;Pacaembu;Locado;;;;;
77;Jundiaí;62;2;1;1;Sim;Não;485;980;48;13;Casa;Gramadão;Disponível;;;;;
78;Jundiaí;70;1;1;0;Sim;Sim;1500;4000;284;51;Apartamento;Samambaia;Disponível;;;;;
79;Jundiaí;55;1;1;0;Sim;Não;600;1100;60;14;Casa;Novo Horizonte;Locado;;;;;
80;Jundiaí;60;2;1;1;Não;Não;430;815;20;6;Casa;Vila Rio Branco;Locado;;;;;
81;Jundiaí;85;2;2;1;Sim;Não;1250;1738;261;23;Casa;Distrito Industrial;Disponível;;;;;
82;Jundiaí;134;3;3;3;Não;Não;1655;8000;380;102;Apartamento;Fazenda Grande;Disponível;;;;;
83;Jundiaí;200;3;2;2;Sim;Não;2573;10000;1121;127;Casa;Anhangabaú;Disponível;;;;;
84;Jundiaí;170;3;2;2;Sim;Sim;0;3900;267;59;Apartamento;Tamoio;Disponível;;;;;
85;Jundiaí;46;1;1;2;Sim;Sim;2210;6220;255;79;Casa;Jundiaí Mirim;Locado;;;;;
86;Jundiaí;20;1;1;0;Sim;Sim;602;1800;130;23;Casa;Engordadouro;Disponível;;;;;
87;Jundiaí;58;2;2;1;Não;Sim;1000;4500;144;58;Apartamento;Maringá;Disponível;;;;;
88;Jundiaí;96;3;2;3;Sim;Não;1024;2350;313;30;Apartamento;Novo Horizonte;Locado;;;;;
89;Jundiaí;190;3;3;3;Sim;Não;3000;13000;84;165;Casa;Parque Do Colégio;Disponível;;;;;
90;Jundiaí;87;3;2;4;Sim;Não;800;2000;67;26;Apartamento;Retiro;Disponível;;;;;
91;Jundiaí;42;1;1;0;Sim;Não;350;2400;94;31;Casa;Gramadão;Disponível;;;;;
92;Jundiaí;145;3;3;1;Sim;Sim;1380;11000;375;140;Apartamento;São Camilo;Disponível;;;;;
93;Jundiaí;250;4;6;4;Não;Não;3000;14500;875;184;Apartamento;Vianelo / Bonfiglioli;Locado;;;;;
94;Jundiaí;90;2;1;1;Sim;Não;1000;3000;50;39;Apartamento;Samambaia;Locado;;;;;
95;Jundiaí;250;6;2;2;Sim;Não;0;2472;26;38;Casa;Currupira;Locado;;;;;
96;Jundiaí;500;3;4;5;Sim;Sim;0;7620;1094;115;Casa;Centro;Disponível;;;;;
97;Jundiaí;80;2;2;2;Sim;Sim;1581;8800;112;112;Apartamento;Jardim Do Lago;Disponível;;;;;
98;Jundiaí;120;3;2;3;Sim;Não;0;2500;180;38;Casa;Ponte São João;Locado;;;;;
99;Jundiaí;265;3;3;2;Sim;Não;0;2400;140;37;Apartamento;São Camilo;Disponível;;;;;
100;Jundiaí;50;2;1;1;Sim;Não;330;1080;0;14;Casa;Nova Odessa;Disponível;;;;;
101;Jundiaí;126;3;3;2;Sim;Não;780;3800;167;49;Apartamento;Retiro;Locado;;;;;
102;Jundiaí;55;2;1;1;Sim;Não;390;720;0;10;Apartamento;Distrito Industrial;Locado;;;;;
103;Jundiaí;29;1;1;1;Sim;Sim;700;2700;84;35;Casa;Cecap;Locado;;;;;
104;Jundiaí;59;2;1;1;Sim;Não;514;2450;138;32;Casa;Gramadão;Disponível;;;;;
105;Jundiaí;200;2;4;4;Sim;Não;2450;7800;1417;99;Apartamento;Parque Centenário;Disponível;;;;;
106;Jundiaí;74;3;2;1;Sim;Não;577;2196;100;28;Apartamento;Jardim Do Lago;Disponível;;;;;
107;Jundiaí;290;4;5;2;Sim;Não;4300;10000;875;127;Casa;São Camilo;Locado;;;;;
108;Jundiaí;172;3;4;3;Sim;Não;1596;8000;820;102;Apartamento;Horto Florestal;Disponível;;;;;
109;Jundiaí;25;1;1;0;Não;Sim;270;2600;67;33;Casa;Jardim Do Lago;Disponível;;;;;
110;Jundiaí;50;1;1;1;Sim;Não;0;1100;0;17;Casa;Samambaia;Disponível;;;;;
111;Jundiaí;40;1;1;0;Sim;Não;300;1100;0;14;Apartamento;Samambaia;Disponível;;;;;
112;Jundiaí;80;2;2;2;Sim;Não;0;2465;0;38;Apartamento;Pacaembu;Locado;;;;;
113;Jundiaí;280;6;6;3;Sim;Não;0;5000;1118;76;Casa;Distrito Industrial;Disponível;;;;;
114;Jundiaí;60;1;1;1;Sim;Sim;850;4723;0;18;Apartamento;Fazenda Grande;Disponível;;;;;
115;Jundiaí;115;2;3;2;Sim;Não;1380;12000;790;153;Apartamento;Pinheirinhos/Represa;Locado;;;;;
116;Jundiaí;540;3;3;4;Sim;Não;6200;15000;3500;191;Casa;Nova Odessa;Locado;;;;;
117;Jundiaí;76;2;1;1;Não;Sim;906;4250;217;54;Apartamento;São Camilo;Disponível;;;;;
118;Jundiaí;150;4;5;2;Sim;Não;1100;2980;360;38;Apartamento;Parque Do Colégio;Locado;;;;;
119;Jundiaí;130;3;2;1;Sim;Não;2400;5500;209;70;Apartamento;Santa Gertrudes;Locado;;;;;
120;Jundiaí;64;2;1;1;Sim;Não;441;730;18;10;Apartamento;Torres São José;Disponível;;;;;
121;Jundiaí;55;2;2;1;Sim;Não;420;1300;50;17;Apartamento;Ponte São João;Disponível;;;;;
122;Jundiaí;50;1;1;0;Sim;Não;600;1300;0;17;Casa;Vila Arens / Vila Progresso;Disponível;;;;;
123;Jundiaí;120;2;3;2;Sim;Não;2000;7000;180;89;Apartamento;Fazenda Grande;Disponível;;;;;
124;Jundiaí;236;3;4;4;Sim;Não;1600;11000;440;140;Casa;Fazenda Grande;Disponível;;;;;
125;Jundiaí;30;1;1;0;Sim;Não;336;550;10;7;Apartamento;Hortolândia;Locado;;;;;
126;Jundiaí;270;3;3;0;Sim;Sim;0;8000;500;121;Casa;Parque Centenário;Locado;;;;;
127;Jundiaí;48;1;1;0;Sim;Não;350;670;21;9;Casa;Jardim Do Lago;Locado;;;;;
128;Jundiaí;198;6;3;4;Sim;Não;0;2000;145;31;Casa;Cerâmica Ibetel;Disponível;;;;;
129;Jundiaí;50;1;1;0;Sim;Não;0;1080;59;17;Casa;Torres São José;Disponível;;;;;
130;Jundiaí;185;3;3;3;Sim;Não;2670;5600;907;71;Casa;Engordadouro;Disponível;;;;;
131;Jundiaí;440;4;4;4;Sim;Não;0;12000;2500;181;Apartamento;Novo Horizonte;Locado;;;;;
132;Jundiaí;119;3;2;2;Sim;Não;1650;1200;212;16;Casa;Malota;Disponível;;;;;
133;Jundiaí;57;2;2;2;Sim;Não;510;1690;11;22;Apartamento;Parque Centenário;Disponível;;;;;
134;Jundiaí;65;2;1;1;Sim;Não;100;1400;84;18;Apartamento;Caxambu;Locado;;;;;
135;Jundiaí;35;2;1;1;Sim;Não;125;2100;0;32;Casa;Vila Rio Branco;Locado;;;;;
136;Jundiaí;51;1;2;1;Não;Não;703;2100;150;27;Apartamento;Fazenda Grande;Disponível;;;;;
137;Jundiaí;70;2;3;1;Sim;Não;1196;2004;0;26;Casa;Vila Municipal;Disponível;;;;;
138;Jundiaí;90;2;1;1;Sim;Não;0;1500;0;23;Casa;Nova Odessa;Disponível;;;;;
139;Jundiaí;320;3;4;3;Sim;Não;3400;6800;1;87;Apartamento;Samambaia;Disponível;;;;;
140;Jundiaí;250;7;5;2;Sim;Não;0;12750;1045;192;Casa;Anhangabaú;Disponível;;;;;
141;Jundiaí;70;2;1;1;Sim;Não;660;3800;45;49;Apartamento;Fazenda Grande;Disponível;;;;;
142;Jundiaí;169;4;6;3;Sim;Sim;2560;10000;734;127;Apartamento;Vila Municipal;Disponível;;;;;
143;Jundiaí;33;1;1;0;Não;Não;338;1100;63;14;Casa;Vila Municipal;Disponível;;;;;
144;Jundiaí;225;4;4;3;Sim;Não;2800;5000;1267;64;Apartamento;Jardim Do Lago;Disponível;;;;;
145;Jundiaí;42;1;1;0;Sim;Sim;0;3256;0;42;Casa;Marco Leite;Locado;;;;;
146;Jundiaí;120;3;4;1;Não;Não;0;4000;4;61;Apartamento;Aeroporto;Disponível;;;;;
147;Jundiaí;70;3;2;2;Não;Não;750;1500;148;20;Casa;Samambaia;Disponível;;;;;
148;Jundiaí;90;1;1;2;Sim;Sim;0;3200;137;49;Casa;Nambi;Disponível;;;;;
149;Jundiaí;260;4;5;4;Sim;Sim;2014;3300;1000;42;Apartamento;Engordadouro;Locado;;;;;
150;Jundiaí;243;3;3;4;Sim;Não;2678;5500;1950;70;Casa;Jardim Ermida;Locado;;;;;
151;Jundiaí;100;1;1;0;Sim;Não;0;1530;0;12;Casa;Vila Rio Branco;Disponível;;;;;
152;Jundiaí;240;3;4;3;Sim;Não;3211;5100;1102;65;Apartamento;Tulipas;Locado;;;;;
153;Jundiaí;45;1;1;1;Sim;Não;700;870;46;12;Apartamento;Rami;Disponível;;;;;
154;Jundiaí;65;1;1;1;Sim;Sim;680;5000;14;64;Casa;Gramadão;Locado;;;;;
155;Jundiaí;47;1;1;0;Não;Não;100;1000;76;13;Apartamento;Casa Branca;Locado;;;;;
156;Jundiaí;60;2;1;0;Sim;Sim;589;3300;65;42;Casa;Horto Florestal;Locado;;;;;
157;Jundiaí;340;4;6;6;Sim;Sim;0;15000;250;226;Apartamento;Colônia;Disponível;;;;;
158;Jundiaí;500;4;4;0;Sim;Não;0;6000;467;91;Apartamento;Pinheirinhos/Represa;Locado;;;;;
159;Jundiaí;55;2;1;1;Sim;Não;420;1399;0;18;Apartamento;Vila Rio Branco;Disponível;;;;;
160;Jundiaí;240;3;4;3;Sim;Sim;3600;4950;1000;63;Apartamento;Moisés;Locado;;;;;
161;Jundiaí;65;2;2;1;Sim;Não;650;2315;0;7;Casa;São Camilo;Disponível;;;;;
162;Jundiaí;68;1;1;0;Não;Não;0;1213;0;6;Apartamento;São Camilo;Locado;;;;;
163;Jundiaí;500;4;4;3;Sim;Não;0;10800;988;163;Apartamento;Nambi;Disponível;;;;;
164;Jundiaí;198;2;2;2;Sim;Não;1700;5500;320;70;Apartamento;Vila Arens / Vila Progresso;Disponível;;;;;
165;Jundiaí;62;2;1;1;Sim;Não;543;2200;59;28;Casa;Cerâmica Ibetel;Disponível;;;;;
166;Jundiaí;60;2;2;1;Sim;Não;632;2806;25;36;Apartamento;Vila Arens / Vila Progresso;Disponível;;;;;
167;Jundiaí;187;3;2;3;Não;Sim;1700;8400;584;127;Casa;Cerâmica Ibetel;Locado;;;;;
168;Jundiaí;25;1;1;0;Sim;Não;432;2200;45;28;Apartamento;Aeroporto;Disponível;;;;;
169;Jundiaí;230;3;4;3;Sim;Não;0;3600;409;55;Casa;Colônia;Locado;;;;;
170;Jundiaí;17;1;1;0;Não;Sim;300;2400;50;31;Casa;Nova Odessa;Locado;;;;;
171;Jundiaí;67;2;2;1;Sim;Não;740;2200;170;28;Casa;Retiro;Locado;;;;;
172;Jundiaí;20;1;1;0;Sim;Sim;0;2060;0;27;Apartamento;Marco Leite;Locado;;;;;
173;Jundiaí;118;3;2;2;Sim;Sim;1880;8500;434;108;Apartamento;Ponte São João;Disponível;;;;;
174;Jundiaí;43;1;1;1;Sim;Não;850;2430;172;31;Casa;Jundiaí Mirim;Disponível;;;;;
175;Jundiaí;195;2;3;1;Sim;Não;1500;6000;334;77;Apartamento;Colônia;Locado;;;;;
176;Jundiaí;141;3;4;3;Não;Não;1646;7500;735;96;Casa;Anhangabaú;Disponível;;;;;
177;Jundiaí;45;1;1;1;Não;Não;550;2300;0;30;Casa;Samambaia;Disponível;;;;;
178;Jundiaí;48;1;1;1;Sim;Não;588;1525;0;6;Apartamento;Jardim Ermida Ii;Locado;;;;;
179;Jundiaí;280;3;4;2;Não;Não;4000;6000;1059;77;Apartamento;Vila Militar;Disponível;;;;;
180;Jundiaí;170;3;2;2;Não;Não;2199;5000;423;64;Apartamento;Pacaembu;Disponível;;;;;
181;Jundiaí;90;3;2;1;Sim;Não;0;3260;0;50;Casa;Malota;Disponível;;;;;
182;Jundiaí;35;1;1;1;Sim;Não;392;1100;13;14;Apartamento;Alvorada;Disponível;;;;;
183;Jundiaí;16;1;1;0;Não;Não;390;2300;100;30;Casa;Vianelo / Bonfiglioli;Disponível;;;;;
184;Jundiaí;68;1;1;1;Não;Sim;600;1000;48;13;Casa;Tamoio;Locado;;;;;
185;Jundiaí;80;3;5;2;Não;Não;3460;12000;1000;153;Apartamento;Centro;Disponível;;;;;
186;Jundiaí;190;3;2;1;Sim;Sim;3040;8000;556;102;Casa;Maringá;Disponível;;;;;
187;Jundiaí;150;3;4;2;Não;Não;0;3400;0;52;Apartamento;Medeiros;Disponível;;;;;
188;Jundiaí;112;3;3;2;Sim;Sim;1100;2670;188;34;Apartamento;Tulipas;Locado;;;;;
189;Jundiaí;145;3;4;3;Não;Não;1200;6000;750;77;Casa;Gramadão;Locado;;;;;
190;Jundiaí;47;1;1;1;Sim;Não;560;1100;46;14;Casa;Vila Municipal;Disponível;;;;;
191;Jundiaí;128;3;2;1;Sim;Sim;1094;4529;242;58;Apartamento;São Camilo;Disponível;;;;;
192;Jundiaí;250;3;4;4;Sim;Não;0;4500;334;68;Apartamento;Maringá;Disponível;;;;;
193;Jundiaí;120;3;1;0;Sim;Não;250;1460;0;21;Casa;Caxambu;Locado;;;;;
194;Jundiaí;110;2;2;2;Não;Não;0;2700;300;41;Apartamento;Horto Florestal;Locado;;;;;
195;Jundiaí;400;2;5;4;Sim;Não;0;6000;484;91;Apartamento;Colônia;Disponível;;;;;
196;Jundiaí;35;1;1;1;Não;Sim;1050;2600;317;33;Casa;Jundiaí Mirim;Locado;;;;;
197;Jundiaí;107;2;2;2;Sim;Sim;1800;12800;417;163;Apartamento;Parque Residencial Eloy Chaves;Locado;;;;;
198;Jundiaí;97;2;2;0;Sim;Não;1200;5600;0;71;Casa;Vila Municipal;Disponível;;;;;
199;Jundiaí;70;2;1;0;Não;Não;350;1050;116;14;Casa;Jardim Do Lago;Locado;;;;;
200;Jundiaí;20;1;1;0;Não;Sim;150;3142;67;40;Apartamento;Cerâmica Ibetel;Locado;;;;;
201;Jundiaí;130;3;2;2;Sim;Não;1100;3500;209;45;Apartamento;Engordadouro;Disponível;;;;;
202;Jundiaí;120;3;2;3;Sim;Não;1400;2000;292;26;Apartamento;Hortolândia;Disponível;;;;;
203;Jundiaí;110;3;3;2;Sim;Sim;1000;3800;192;49;Casa;Cerâmica Ibetel;Locado;;;;;
204;Jundiaí;300;3;5;3;Sim;Não;0;11900;250;179;Casa;Centro;Locado;;;;;
205;Jundiaí;349;4;5;4;Não;Não;3100;11000;0;140;Apartamento;São Camilo;Locado;;;;;
206;Jundiaí;97;3;2;2;Sim;Não;730;3000;303;39;Apartamento;Jardim Ermida;Disponível;;;;;
207;Jundiaí;84;4;1;3;Não;Não;1914;6000;804;77;Casa;Currupira;Disponível;;;;;
208;Jundiaí;180;2;2;1;Não;Não;0;2800;105;43;Casa;Jardim Ermida Ii;Disponível;;;;;
209;Jundiaí;286;4;4;5;Sim;Não;0;10000;1000;151;Apartamento;Anhangabaú;Disponível;;;;;
210;Jundiaí;500;5;7;5;Sim;Não;5500;14000;2084;178;Casa;Cecap;Disponível;;;;;
211;Jundiaí;110;3;3;3;Sim;Não;1195;2350;670;30;Casa;Cerâmica Ibetel;Locado;;;;;
212;Jundiaí;196;4;4;0;Sim;Não;2450;6000;1458;77;Apartamento;Novo Horizonte;Locado;;;;;
213;Jundiaí;33;1;1;1;Não;Não;552;4150;95;53;Casa;Parque Centenário;Locado;;;;;
214;Jundiaí;400;4;4;3;Sim;Não;0;9000;542;136;Casa;Parque Residencial Eloy Chaves;Disponível;;;;;
215;Jundiaí;170;2;1;0;Sim;Sim;0;2481;0;26;Casa;Vianelo / Bonfiglioli;Locado;;;;;
216;Jundiaí;90;1;1;0;Sim;Não;0;2200;109;34;Casa;Alvorada;Disponível;;;;;
217;Jundiaí;184;3;4;3;Sim;Não;2700;1400;692;18;Casa;Novo Horizonte;Disponível;;;;;
218;Jundiaí;117;2;2;1;Não;Sim;630;7130;150;91;Apartamento;Malota;Locado;;;;;
219;Jundiaí;11;1;1;0;Não;Sim;0;1181;0;15;Apartamento;Jardim Ermida;Locado;;;;;
220;Jundiaí;57;1;1;1;Sim;Não;605;800;66;11;Casa;Pinheirinhos/Represa;Disponível;;;;;
221;Jundiaí;16;1;1;0;Não;Não;0;850;30;11;Apartamento;Colônia;Disponível;;;;;
222;Jundiaí;180;4;3;1;Sim;Sim;1572;5000;240;64;Casa;Vila Militar;Disponível;;;;;
223;Jundiaí;250;3;4;2;Sim;Não;3300;6000;517;77;Casa;Parque Residencial Eloy Chaves;Disponível;;;;;
224;Jundiaí;220;3;4;2;Sim;Sim;0;7000;434;106;Casa;Samambaia;Locado;;;;;
225;Jundiaí;360;3;5;4;Sim;Não;2398;3135;1467;40;Apartamento;Tulipas;Locado;;;;;
226;Jundiaí;122;3;4;3;Sim;Não;0;4500;0;58;Apartamento;Engordadouro;Disponível;;;;;
227;Jundiaí;138;3;4;3;Não;Não;790;7000;690;89;Apartamento;Parque Centenário;Disponível;;;;;
228;Jundiaí;110;3;1;1;Sim;Não;1235;1400;0;18;Apartamento;Cerâmica Ibetel;Disponível;;;;;
229;Jundiaí;220;4;3;3;Sim;Não;1600;3400;0;44;Casa;Santa Gertrudes;Disponível;;;;;
230;Jundiaí;118;3;2;1;Não;Não;1116;4775;185;61;Casa;Marco Leite;Disponível;;;;;
231;Jundiaí;180;2;2;1;Sim;Não;1800;5350;0;68;Apartamento;Medeiros;Disponível;;;;;
232;Jundiaí;52;2;1;1;Sim;Não;540;1300;63;17;Casa;Cerâmica Ibetel;Disponível;;;;;
233;Jundiaí;30;1;1;0;Sim;Sim;0;1550;21;20;Apartamento;Jardim Ermida;Locado;;;;;
234;Jundiaí;160;3;3;2;Sim;Sim;1650;1500;419;20;Casa;Vila Arens / Vila Progresso;Locado;;;;;
235;Jundiaí;209;3;3;2;Não;Não;593;2550;237;39;Apartamento;Santa Gertrudes;Disponível;;;;;
236;Jundiaí;450;5;5;6;Sim;Não;0;9500;1345;143;Casa;Jundiaí Mirim;Locado;;;;;
237;Jundiaí;117;3;3;3;Sim;Não;2280;2300;700;30;Casa;Jardim Do Lago;Disponível;;;;;
238;Jundiaí;900;4;6;8;Sim;Não;0;15000;4417;226;Apartamento;Vila Municipal;Disponível;;;;;
239;Jundiaí;200;3;3;0;Sim;Não;0;4500;71;68;Casa;Anhangabaú;Disponível;;;;;
240;Jundiaí;128;3;3;2;Sim;Não;2600;3800;605;49;Casa;Tamoio;Locado;;;;;
241;Jundiaí;140;3;2;2;Sim;Não;1480;3700;167;47;Casa;Cecap;Locado;;;;;
242;Jundiaí;180;3;3;4;Sim;Não;2000;7000;859;89;Casa;Parque Centenário;Disponível;;;;;
243;Jundiaí;280;4;4;5;Sim;Não;3000;3200;875;41;Apartamento;Vianelo / Bonfiglioli;Locado;;;;;
244;Jundiaí;420;4;6;4;Sim;Não;3500;15000;2250;191;Apartamento;Vila Arens / Vila Progresso;Disponível;;;;;
245;Jundiaí;48;1;1;1;Sim;Sim;740;2700;137;35;Apartamento;Retiro;Disponível;;;;;
