ID,Cidade,Area,Quartos,Banheiros,Vagas garagem,Aceita Animais,Mobilhado,Valor condomínio,Valor do Aluguel,IPTU,Seguro,Tipo Imóvel,Bairro,Estado,Custo_Mensal,Preco_m2,Categoria_Preco
30,Jundiaí,70,2,1,0,Sim,Não,521.0,3000.0,50.0,39.0,Casa,Colônia,Disponível,3610.0,42.857142857142854,2. Médio Padrão (Q2)
31,Jundiaí,120,3,1,4,Sim,Não,0.0,3500.0,234.0,53.0,Apartamento,Jundiaí Mirim,Locado,3787.0,29.166666666666668,3. Alto Padrão (Q3)
32,Jundiaí,250,3,4,2,Sim,Não,300.0,3480.0,360.0,53.0,Apartamento,Agapeama,Locado,4193.0,13.92,3. Alto Padrão (Q3)
33,Jundiaí,50,1,1,0,Sim,Não,325.0,1550.0,25.0,20.0,Casa,Novo Horizonte,Locado,1920.0,31.0,1. Econômico (Q1)
34,Jundiaí,240,3,3,3,Sim,Não,4132.0,3800.0,952.0,49.0,Apartamento,Casa Branca,Disponível,8933.0,15.833333333333334,3. Alto Padrão (Q3)
35,Jundiaí,250,4,4,2,Não,Não,0.0,6600.0,0.0,100.0,Casa,Vila Rio Branco,Locado,6700.0,26.4,4. Luxo/Premium (Q4)
36,Jundiaí,94,3,3,2,Sim,Não,750.0,2200.0,192.0,28.0,Apartamento,Vila Municipal,Disponível,3170.0,23.404255319148938,2. Médio Padrão (Q2)
37,Jundiaí,176,3,4,3,Sim,Não,1600.0,6500.0,775.0,83.0,Casa,Caxambu,Disponível,8958.0,36.93181818181818,4. Luxo/Premium (Q4)
38,Jundiaí,180,3,4,5,Sim,Não,0.0,3300.0,266.0,50.0,Apartamento,Currupira,Disponível,3616.0,18.333333333333332,3. Alto Padrão (Q3)
39,Jundiaí,191,3,3,4,Sim,Sim,2605.0,15000.0,1299.0,191.0,Apartamento,Medeiros,Locado,19095.0,78.53403141361257,4. Luxo/Premium (Q4)
40,Jundiaí,25,1,1,0,Sim,Não,257.0,1698.0,0.0,22.0,Apartamento,Nova Odessa,Disponível,1977.0,67.92,1. Econômico (Q1)
41,Jundiaí,800,4,5,4,Sim,Não,6000.0,15000.0,3334.0,191.0,Casa,Moisés,Disponível,24525.0,18.75,4. Luxo/Premium (Q4)
42,Jundiaí,340,3,4,3,Sim,Sim,0.0,9800.0,392.0,148.0,Casa,Vila Arens / Vila Progresso,Locado,10340.0,28.823529411764707,4. Luxo/Premium (Q4)
43,Jundiaí,90,2,1,0,Não,Não,0.0,1450.0,50.0,22.0,Casa,Pacaembu,Disponível,1522.0,16.11111111111111,1. Econômico (Q1)
44,Jundiaí,650,5,4,8,Sim,Sim,0.0,8500.0,442.0,128.0,Casa,Aeroporto,Disponível,9070.0,13.076923076923077,4. Luxo/Premium (Q4)
45,Jundiaí,100,2,2,0,Sim,Não,0.0,2700.0,265.0,35.0,Apartamento,Vila Arens / Vila Progresso,Disponível,3000.0,27.0,2. Médio Padrão (Q2)
46,Jundiaí,230,4,4,4,Sim,Sim,2300.0,13500.0,1084.0,172.0,Casa,Vila Municipal,Disponível,17056.0,58.69565217391305,4. Luxo/Premium (Q4)
47,Jundiaí,190,2,3,2,Sim,Não,0.0,13050.0,1284.0,197.0,Casa,Engordadouro,Locado,14531.0,68.6842105263158,4. Luxo/Premium (Q4)
48,Jundiaí,205,4,4,6,Sim,Não,2450.0,2720.0,959.0,35.0,Casa,Vila Arens / Vila Progresso,Disponível,6164.0,13.268292682926829,2. Médio Padrão (Q2)
49,Jundiaí,96,3,3,2,Sim,Não,866.0,1790.0,90.0,23.0,Casa,Medeiros,Locado,2769.0,18.645833333333332,1. Econômico (Q1)
50,Jundiaí,396,4,4,4,Sim,Não,0.0,10000.0,750.0,151.0,Casa,Samambaia,Locado,10901.0,25.252525252525253,4. Luxo/Premium (Q4)
51,Jundiaí,74,3,2,1,Sim,Não,650.0,1600.0,250.0,21.0,Apartamento,Samambaia,Locado,2521.0,21.62162162162162,1. Econômico (Q1)
52,Jundiaí,30,1,1,0,Não,Sim,380.0,500.0,10.0,7.0,Apartamento,São Camilo,Disponível,897.0,16.666666666666668,1. Econômico (Q1)
53,Jundiaí,64,3,2,1,Sim,Não,522.0,1400.0,65.0,18.0,Apartamento,Caxambu,Disponível,2005.0,21.875,1. Econômico (Q1)
54,Jundiaí,105,3,2,2,Sim,Sim,1544.0,7800.0,488.0,99.0,Casa,Casa Branca,Locado,9931.0,74.28571428571429,4. Luxo/Premium (Q4)
55,Jundiaí,50,1,2,1,Sim,Sim,1050.0,5900.0,259.0,75.0,Apartamento,Torres São José,Disponível,7284.0,118.0,3. Alto Padrão (Q3)
56,Jundiaí,60,2,1,0,Não,Não,400.0,1300.0,0.0,17.0,Casa,Parque Centenário,Disponível,1717.0,21.666666666666668,1. Econômico (Q1)
57,Jundiaí,50,2,1,1,Sim,Sim,585.0,2000.0,49.0,26.0,Casa,Moisés,Locado,2660.0,40.0,2. Médio Padrão (Q2)
58,Jundiaí,90,2,2,0,Sim,Não,0.0,1700.0,38.0,26.0,Casa,Jardim Ermida Ii,Disponível,1764.0,18.88888888888889,1. Econômico (Q1)
59,Jundiaí,130,3,2,1,Não,Sim,1200.0,7500.0,417.0,96.0,Apartamento,Caxambu,Locado,9213.0,57.69230769230769,4. Luxo/Premium (Q4)
60,Jundiaí,20,1,1,0,Não,Sim,0.0,1950.0,0.0,25.0,Casa,Jundiaí Mirim,Disponível,1975.0,97.5,2. Médio Padrão (Q2)
61,Jundiaí,400,4,3,2,Sim,Não,0.0,5650.0,338.0,85.0,Casa,Currupira,Disponível,6073.0,14.125,3. Alto Padrão (Q3)
62,Jundiaí,220,3,3,5,Sim,Não,0.0,7500.0,0.0,113.0,Casa,Colônia,Locado,7613.0,34.09090909090909,4. Luxo/Premium (Q4)
63,Jundiaí,750,7,6,5,Sim,Sim,0.0,5800.0,559.0,88.0,Apartamento,Cecap,Disponível,6447.0,7.733333333333333,3. Alto Padrão (Q3)
64,Jundiaí,20,1,1,0,Sim,Sim,602.0,1800.0,130.0,23.0,Casa,Vila Rio Branco,Disponível,2555.0,90.0,1. Econômico (Q1)
65,Jundiaí,140,3,2,2,Não,Não,998.0,2100.0,283.0,27.0,Apartamento,Caxambu,Disponível,3408.0,15.0,2. Médio Padrão (Q2)
66,Jundiaí,22,1,1,0,Não,Não,250.0,1080.0,14.0,14.0,Casa,Novo Horizonte,Disponível,1358.0,49.09090909090909,1. Econômico (Q1)
67,Jundiaí,345,2,3,2,Não,Não,3655.0,12000.0,783.0,153.0,Apartamento,Parque Do Colégio,Disponível,16591.0,34.78260869565217,4. Luxo/Premium (Q4)
68,Jundiaí,46,2,1,1,Não,Não,250.0,1100.0,53.0,5.0,Casa,Tulipas,Disponível,1408.0,23.91304347826087,1. Econômico (Q1)
69,Jundiaí,35,1,1,1,Não,Sim,550.0,3250.0,30.0,42.0,Apartamento,Samambaia,Disponível,3872.0,92.85714285714286,3. Alto Padrão (Q3)
70,Jundiaí,72,2,2,1,Sim,Não,500.0,1200.0,97.0,16.0,Casa,Distrito Industrial,Disponível,1813.0,16.666666666666668,1. Econômico (Q1)
71,Jundiaí,60,1,1,2,Não,Não,3398.0,1900.0,288.0,25.0,Casa,Pacaembu,Disponível,5611.0,31.666666666666668,2. Médio Padrão (Q2)
72,Jundiaí,180,3,2,4,Não,Sim,0.0,11000.0,667.0,166.0,Apartamento,Jardim Ermida,Locado,11833.0,61.111111111111114,4. Luxo/Premium (Q4)
73,Jundiaí,83,3,2,1,Não,Sim,805.0,3300.0,80.0,42.0,Casa,Parque Do Colégio,Locado,4227.0,39.75903614457831,3. Alto Padrão (Q3)
74,Jundiaí,50,1,1,0,Sim,Não,519.0,1550.0,28.0,20.0,Casa,Ponte São João,Locado,2117.0,31.0,1. Econômico (Q1)
75,Jundiaí,38,1,1,1,Não,Sim,1620.0,3020.0,279.0,39.0,Apartamento,Tulipas,Disponível,4958.0,79.47368421052632,2. Médio Padrão (Q2)
76,Jundiaí,140,3,3,2,Sim,Não,1300.0,2800.0,292.0,36.0,Casa,Pacaembu,Locado,4428.0,20.0,2. Médio Padrão (Q2)
77,Jundiaí,62,2,1,1,Sim,Não,485.0,980.0,48.0,13.0,Casa,Gramadão,Disponível,1526.0,15.806451612903226,1. Econômico (Q1)
78,Jundiaí,70,1,1,0,Sim,Sim,1500.0,4000.0,284.0,51.0,Apartamento,Samambaia,Disponível,5835.0,57.142857142857146,3. Alto Padrão (Q3)
79,Jundiaí,55,1,1,0,Sim,Não,600.0,1100.0,60.0,14.0,Casa,Novo Horizonte,Locado,1774.0,20.0,1. Econômico (Q1)
80,Jundiaí,60,2,1,1,Não,Não,430.0,815.0,20.0,6.0,Casa,Vila Rio Branco,Locado,1271.0,13.583333333333334,1. Econômico (Q1)
81,Jundiaí,85,2,2,1,Sim,Não,1250.0,1738.0,261.0,23.0,Casa,Distrito Industrial,Disponível,3272.0,20.44705882352941,1. Econômico (Q1)
82,Jundiaí,134,3,3,3,Não,Não,1655.0,8000.0,380.0,102.0,Apartamento,Fazenda Grande,Disponível,10137.0,59.701492537313435,4. Luxo/Premium (Q4)
83,Jundiaí,200,3,2,2,Sim,Não,2573.0,10000.0,1121.0,127.0,Casa,Anhangabaú,Disponível,13821.0,50.0,4. Luxo/Premium (Q4)
84,Jundiaí,170,3,2,2,Sim,Sim,0.0,3900.0,267.0,59.0,Apartamento,Tamoio,Disponível,4226.0,22.941176470588236,3. Alto Padrão (Q3)
85,Jundiaí,46,1,1,2,Sim,Sim,2210.0,6220.0,255.0,79.0,Casa,Jundiaí Mirim,Locado,8764.0,135.2173913043478,4. Luxo/Premium (Q4)
86,Jundiaí,20,1,1,0,Sim,Sim,602.0,1800.0,130.0,23.0,Casa,Engordadouro,Disponível,2555.0,90.0,1. Econômico (Q1)
87,Jundiaí,58,2,2,1,Não,Sim,1000.0,4500.0,144.0,58.0,Apartamento,Maringá,Disponível,5702.0,77.58620689655173,3. Alto Padrão (Q3)
88,Jundiaí,96,3,2,3,Sim,Não,1024.0,2350.0,313.0,30.0,Apartamento,Novo Horizonte,Locado,3717.0,24.479166666666668,2. Médio Padrão (Q2)
89,Jundiaí,190,3,3,3,Sim,Não,3000.0,13000.0,84.0,165.0,Casa,Parque Do Colégio,Disponível,16249.0,68.42105263157895,4. Luxo/Premium (Q4)
90,Jundiaí,87,3,2,4,Sim,Não,800.0,2000.0,67.0,26.0,Apartamento,Retiro,Disponível,2893.0,22.988505747126435,2. Médio Padrão (Q2)
91,Jundiaí,42,1,1,0,Sim,Não,350.0,2400.0,94.0,31.0,Casa,Gramadão,Disponível,2875.0,57.142857142857146,2. Médio Padrão (Q2)
92,Jundiaí,145,3,3,1,Sim,Sim,1380.0,11000.0,375.0,140.0,Apartamento,São Camilo,Disponível,12895.0,75.86206896551724,4. Luxo/Premium (Q4)
93,Jundiaí,250,4,6,4,Não,Não,3000.0,14500.0,875.0,184.0,Apartamento,Vianelo / Bonfiglioli,Locado,18559.0,58.0,4. Luxo/Premium (Q4)
94,Jundiaí,90,2,1,1,Sim,Não,1000.0,3000.0,50.0,39.0,Apartamento,Samambaia,Locado,4089.0,33.333333333333336,2. Médio Padrão (Q2)
95,Jundiaí,250,6,2,2,Sim,Não,0.0,2472.0,26.0,38.0,Casa,Currupira,Locado,2536.0,9.888,2. Médio Padrão (Q2)
96,Jundiaí,500,3,4,5,Sim,Sim,0.0,7620.0,1094.0,115.0,Casa,Centro,Disponível,8829.0,15.24,4. Luxo/Premium (Q4)
97,Jundiaí,80,2,2,2,Sim,Sim,1581.0,8800.0,112.0,112.0,Apartamento,Jardim Do Lago,Disponível,10605.0,110.0,4. Luxo/Premium (Q4)
98,Jundiaí,120,3,2,3,Sim,Não,0.0,2500.0,180.0,38.0,Casa,Ponte São João,Locado,2718.0,20.833333333333332,2. Médio Padrão (Q2)
99,Jundiaí,265,3,3,2,Sim,Não,0.0,2400.0,140.0,37.0,Apartamento,São Camilo,Disponível,2577.0,9.056603773584905,2. Médio Padrão (Q2)
100,Jundiaí,50,2,1,1,Sim,Não,330.0,1080.0,0.0,14.0,Casa,Nova Odessa,Disponível,1424.0,21.6,1. Econômico (Q1)
101,Jundiaí,126,3,3,2,Sim,Não,780.0,3800.0,167.0,49.0,Apartamento,Retiro,Locado,4796.0,30.158730158730158,3. Alto Padrão (Q3)
102,Jundiaí,55,2,1,1,Sim,Não,390.0,720.0,0.0,10.0,Apartamento,Distrito Industrial,Locado,1120.0,13.090909090909092,1. Econômico (Q1)
103,Jundiaí,29,1,1,1,Sim,Sim,700.0,2700.0,84.0,35.0,Casa,Cecap,Locado,3519.0,93.10344827586206,2. Médio Padrão (Q2)
104,Jundiaí,59,2,1,1,Sim,Não,514.0,2450.0,138.0,32.0,Casa,Gramadão,Disponível,3134.0,41.52542372881356,2. Médio Padrão (Q2)
105,Jundiaí,200,2,4,4,Sim,Não,2450.0,7800.0,1417.0,99.0,Apartamento,Parque Centenário,Disponível,11766.0,39.0,4. Luxo/Premium (Q4)
106,Jundiaí,74,3,2,1,Sim,Não,577.0,2196.0,100.0,28.0,Apartamento,Jardim Do Lago,Disponível,2901.0,29.675675675675677,2. Médio Padrão (Q2)
107,Jundiaí,290,4,5,2,Sim,Não,4300.0,10000.0,875.0,127.0,Casa,São Camilo,Locado,15302.0,34.48275862068966,4. Luxo/Premium (Q4)
108,Jundiaí,172,3,4,3,Sim,Não,1596.0,8000.0,820.0,102.0,Apartamento,Horto Florestal,Disponível,10518.0,46.51162790697674,4. Luxo/Premium (Q4)
109,Jundiaí,25,1,1,0,Não,Sim,270.0,2600.0,67.0,33.0,Casa,Jardim Do Lago,Disponível,2970.0,104.0,2. Médio Padrão (Q2)
110,Jundiaí,50,1,1,1,Sim,Não,0.0,1100.0,0.0,17.0,Casa,Samambaia,Disponível,1117.0,22.0,1. Econômico (Q1)
111,Jundiaí,40,1,1,0,Sim,Não,300.0,1100.0,0.0,14.0,Apartamento,Samambaia,Disponível,1414.0,27.5,1. Econômico (Q1)
112,Jundiaí,80,2,2,2,Sim,Não,0.0,2465.0,0.0,38.0,Apartamento,Pacaembu,Locado,2503.0,30.8125,2. Médio Padrão (Q2)
113,Jundiaí,280,6,6,3,Sim,Não,0.0,5000.0,1118.0,76.0,Casa,Distrito Industrial,Disponível,6194.0,17.857142857142858,3. Alto Padrão (Q3)
114,Jundiaí,60,1,1,1,Sim,Sim,850.0,4723.0,0.0,18.0,Apartamento,Fazenda Grande,Disponível,5591.0,78.71666666666667,3. Alto Padrão (Q3)
115,Jundiaí,115,2,3,2,Sim,Não,1380.0,12000.0,790.0,153.0,Apartamento,Pinheirinhos/Represa,Locado,14323.0,104.34782608695652,4. Luxo/Premium (Q4)
116,Jundiaí,540,3,3,4,Sim,Não,6200.0,15000.0,3500.0,191.0,Casa,Nova Odessa,Locado,24891.0,27.77777777777778,4. Luxo/Premium (Q4)
117,Jundiaí,76,2,1,1,Não,Sim,906.0,4250.0,217.0,54.0,Apartamento,São Camilo,Disponível,5427.0,55.921052631578945,3. Alto Padrão (Q3)
118,Jundiaí,150,4,5,2,Sim,Não,1100.0,2980.0,360.0,38.0,Apartamento,Parque Do Colégio,Locado,4478.0,19.866666666666667,2. Médio Padrão (Q2)
119,Jundiaí,130,3,2,1,Sim,Não,2400.0,5500.0,209.0,70.0,Apartamento,Santa Gertrudes,Locado,8179.0,42.30769230769231,3. Alto Padrão (Q3)
120,Jundiaí,64,2,1,1,Sim,Não,441.0,730.0,18.0,10.0,Apartamento,Torres São José,Disponível,1199.0,11.40625,1. Econômico (Q1)
121,Jundiaí,55,2,2,1,Sim,Não,420.0,1300.0,50.0,17.0,Apartamento,Ponte São João,Disponível,1787.0,23.636363636363637,1. Econômico (Q1)
122,Jundiaí,50,1,1,0,Sim,Não,600.0,1300.0,0.0,17.0,Casa,Vila Arens / Vila Progresso,Disponível,1917.0,26.0,1. Econômico (Q1)
123,Jundiaí,120,2,3,2,Sim,Não,2000.0,7000.0,180.0,89.0,Apartamento,Fazenda Grande,Disponível,9269.0,58.333333333333336,4. Luxo/Premium (Q4)
124,Jundiaí,236,3,4,4,Sim,Não,1600.0,11000.0,440.0,140.0,Casa,Fazenda Grande,Disponível,13180.0,46.610169491525426,4. Luxo/Premium (Q4)
125,Jundiaí,30,1,1,0,Sim,Não,336.0,550.0,10.0,7.0,Apartamento,Hortolândia,Locado,903.0,18.333333333333332,1. Econômico (Q1)
126,Jundiaí,270,3,3,0,Sim,Sim,0.0,8000.0,500.0,121.0,Casa,Parque Centenário,Locado,8621.0,29.62962962962963,4. Luxo/Premium (Q4)
127,Jundiaí,48,1,1,0,Sim,Não,350.0,670.0,21.0,9.0,Casa,Jardim Do Lago,Locado,1050.0,13.958333333333334,1. Econômico (Q1)
128,Jundiaí,198,6,3,4,Sim,Não,0.0,2000.0,145.0,31.0,Casa,Cerâmica Ibetel,Disponível,2176.0,10.1010101010101,2. Médio Padrão (Q2)
129,Jundiaí,50,1,1,0,Sim,Não,0.0,1080.0,59.0,17.0,Casa,Torres São José,Disponível,1156.0,21.6,1. Econômico (Q1)
130,Jundiaí,185,3,3,3,Sim,Não,2670.0,5600.0,907.0,71.0,Casa,Engordadouro,Disponível,9248.0,30.27027027027027,3. Alto Padrão (Q3)
131,Jundiaí,440,4,4,4,Sim,Não,0.0,12000.0,2500.0,181.0,Apartamento,Novo Horizonte,Locado,14681.0,27.272727272727273,4. Luxo/Premium (Q4)
132,Jundiaí,119,3,2,2,Sim,Não,1650.0,1200.0,212.0,16.0,Casa,Malota,Disponível,3078.0,10.084033613445378,1. Econômico (Q1)
133,Jundiaí,57,2,2,2,Sim,Não,510.0,1690.0,11.0,22.0,Apartamento,Parque Centenário,Disponível,2233.0,29.649122807017545,1. Econômico (Q1)
134,Jundiaí,65,2,1,1,Sim,Não,100.0,1400.0,84.0,18.0,Apartamento,Caxambu,Locado,1602.0,21.53846153846154,1. Econômico (Q1)
135,Jundiaí,35,2,1,1,Sim,Não,125.0,2100.0,0.0,32.0,Casa,Vila Rio Branco,Locado,2257.0,60.0,2. Médio Padrão (Q2)
136,Jundiaí,51,1,2,1,Não,Não,703.0,2100.0,150.0,27.0,Apartamento,Fazenda Grande,Disponível,2980.0,41.1764705882353,2. Médio Padrão (Q2)
137,Jundiaí,70,2,3,1,Sim,Não,1196.0,2004.0,0.0,26.0,Casa,Vila Municipal,Disponível,3226.0,28.62857142857143,2. Médio Padrão (Q2)
138,Jundiaí,90,2,1,1,Sim,Não,0.0,1500.0,0.0,23.0,Casa,Nova Odessa,Disponível,1523.0,16.666666666666668,1. Econômico (Q1)
139,Jundiaí,320,3,4,3,Sim,Não,3400.0,6800.0,1.0,87.0,Apartamento,Samambaia,Disponível,10288.0,21.25,4. Luxo/Premium (Q4)
140,Jundiaí,250,7,5,2,Sim,Não,0.0,12750.0,1045.0,192.0,Casa,Anhangabaú,Disponível,13987.0,51.0,4. Luxo/Premium (Q4)
141,Jundiaí,70,2,1,1,Sim,Não,660.0,3800.0,45.0,49.0,Apartamento,Fazenda Grande,Disponível,4554.0,54.285714285714285,3. Alto Padrão (Q3)
142,Jundiaí,169,4,6,3,Sim,Sim,2560.0,10000.0,734.0,127.0,Apartamento,Vila Municipal,Disponível,13421.0,59.171597633136095,4. Luxo/Premium (Q4)
143,Jundiaí,33,1,1,0,Não,Não,338.0,1100.0,63.0,14.0,Casa,Vila Municipal,Disponível,1515.0,33.333333333333336,1. Econômico (Q1)
144,Jundiaí,225,4,4,3,Sim,Não,2800.0,5000.0,1267.0,64.0,Apartamento,Jardim Do Lago,Disponível,9131.0,22.22222222222222,3. Alto Padrão (Q3)
145,Jundiaí,42,1,1,0,Sim,Sim,0.0,3256.0,0.0,42.0,Casa,Marco Leite,Locado,3298.0,77.52380952380952,3. Alto Padrão (Q3)
146,Jundiaí,120,3,4,1,Não,Não,0.0,4000.0,4.0,61.0,Apartamento,Aeroporto,Disponível,4065.0,33.333333333333336,3. Alto Padrão (Q3)
147,Jundiaí,70,3,2,2,Não,Não,750.0,1500.0,148.0,20.0,Casa,Samambaia,Disponível,2418.0,21.428571428571427,1. Econômico (Q1)
148,Jundiaí,90,1,1,2,Sim,Sim,0.0,3200.0,137.0,49.0,Casa,Nambi,Disponível,3386.0,35.55555555555556,3. Alto Padrão (Q3)
149,Jundiaí,260,4,5,4,Sim,Sim,2014.0,3300.0,1000.0,42.0,Apartamento,Engordadouro,Locado,6356.0,12.692307692307692,3. Alto Padrão (Q3)
150,Jundiaí,243,3,3,4,Sim,Não,2678.0,5500.0,1950.0,70.0,Casa,Jardim Ermida,Locado,10198.0,22.633744855967077,3. Alto Padrão (Q3)
151,Jundiaí,100,1,1,0,Sim,Não,0.0,1530.0,0.0,12.0,Casa,Vila Rio Branco,Disponível,1542.0,15.3,1. Econômico (Q1)
152,Jundiaí,240,3,4,3,Sim,Não,3211.0,5100.0,1102.0,65.0,Apartamento,Tulipas,Locado,9478.0,21.25,3. Alto Padrão (Q3)
153,Jundiaí,45,1,1,1,Sim,Não,700.0,870.0,46.0,12.0,Apartamento,Rami,Disponível,1628.0,19.333333333333332,1. Econômico (Q1)
154,Jundiaí,65,1,1,1,Sim,Sim,680.0,5000.0,14.0,64.0,Casa,Gramadão,Locado,5758.0,76.92307692307692,3. Alto Padrão (Q3)
155,Jundiaí,47,1,1,0,Não,Não,100.0,1000.0,76.0,13.0,Apartamento,Casa Branca,Locado,1189.0,21.27659574468085,1. Econômico (Q1)
156,Jundiaí,60,2,1,0,Sim,Sim,589.0,3300.0,65.0,42.0,Casa,Horto Florestal,Locado,3996.0,55.0,3. Alto Padrão (Q3)
157,Jundiaí,340,4,6,6,Sim,Sim,0.0,15000.0,250.0,226.0,Apartamento,Colônia,Disponível,15476.0,44.11764705882353,4. Luxo/Premium (Q4)
158,Jundiaí,500,4,4,0,Sim,Não,0.0,6000.0,467.0,91.0,Apartamento,Pinheirinhos/Represa,Locado,6558.0,12.0,4. Luxo/Premium (Q4)
159,Jundiaí,55,2,1,1,Sim,Não,420.0,1399.0,0.0,18.0,Apartamento,Vila Rio Branco,Disponível,1837.0,25.436363636363637,1. Econômico (Q1)
160,Jundiaí,240,3,4,3,Sim,Sim,3600.0,4950.0,1000.0,63.0,Apartamento,Moisés,Locado,9613.0,20.625,3. Alto Padrão (Q3)
161,Jundiaí,65,2,2,1,Sim,Não,650.0,2315.0,0.0,7.0,Casa,São Camilo,Disponível,2972.0,35.61538461538461,2. Médio Padrão (Q2)
